GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,SAINC7N,805,"485","    Transit and ground passenger transportation","Thousands of dollars",7991000,8582000,8872000,8983000,9191000,9382000,10065000,10427000,11188000,11835000,12343000,12365000,12591000,13342000,13934000,14321000,15438000,16351000,17316000,18688000,20155000,25169000
 "00000","United States", ,SAINC7N,806,"486","    Pipeline transportation","Thousands of dollars",3096000,3221000,4241000,4240000,3279000,3192000,3178000,3189000,3599000,4061000,4067000,4177000,4486000,4819000,5707000,5130000,5543000,5981000,6031000,6390000,6432000,6985000
 "00000","United States", ,SAINC7N,807,"487","    Scenic and sightseeing transportation","Thousands of dollars",708000,708000,752000,728000,643000,648000,678000,729000,765000,839000,842000,790000,805000,860000,929000,1006000,1066000,1120000,1168000,1218000,1286000,1348000
 "00000","United States", ,SAINC7N,808,"488","    Support activities for transportation","Thousands of dollars",16759000,17820000,19466000,19826000,19863000,20707000,22268000,23978000,25694000,27478000,28351000,26084000,26800000,28423000,29992000,30930000,33384000,35808000,36036000,38189000,41334000,44921000
 "00000","United States", ,SAINC7N,809,"492","    Couriers and messengers","Thousands of dollars",17511000,19046000,19885000,19746000,19832000,20527000,21602000,22100000,23204000,23986000,24108000,22998000,23150000,23446000,24256000,25192000,26547000,28343000,29852000,31941000,34512000,38804000
 "00000","United States", ,SAINC7N,811,"493","    Warehousing and storage","Thousands of dollars",14257000,15096000,16367000,16748000,17571000,18700000,20667000,22349000,23963000,25865000,26637000,25860000,26302000,27339000,29175000,30659000,32834000,36873000,40287000,44400000,50137000,55143000
 "00000","United States", ,SAINC7N,900,"51","   Information","Thousands of dollars",160882000,187271000,213364000,209346000,190243000,186294000,192250000,195273000,204090000,214385000,214078000,202192000,204181000,213789000,224263000,239055000,252966000,267097000,280739000,300007000,324712000,345362000
 "00000","United States", ,SAINC7N,901,"511","    Publishing industries (except Internet)","Thousands of dollars",50713000,58786000,63466000,61269000,56131000,56263000,55974000,57716000,61450000,65830000,65679000,60791000,61093000,63924000,66456000,67464000,71969000,76338000,78838000,84914000,93731000,101944000
 "00000","United States", ,SAINC7N,902,"512","    Motion picture and sound recording industries","Thousands of dollars",16490000,16616000,17662000,19183000,18335000,18318000,19848000,20195000,20824000,21591000,22440000,21360000,22810000,23673000,24939000,24412000,26488000,28221000,29839000,29773000,30939000,32980000
 "00000","United States", ,SAINC7N,903,"515","    Broadcasting (except Internet)","Thousands of dollars",14767000,16225000,17837000,18367000,17962000,18145000,18965000,19698000,20733000,21746000,21332000,20576000,20703000,21450000,22855000,23156000,23564000,23571000,23592000,24274000,25568000,26202000
 "00000","United States", ,SAINC7N,904,"516","    Internet publishing and broadcasting 2/","Thousands of dollars",1005000,1610000,3138000,2941000,2156000,2017000,2168000,2388000,2717000,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "00000","United States", ,SAINC7N,905,"517","    Telecommunications","Thousands of dollars",57470000,67527000,75819000,73789000,67684000,64564000,66294000,65307000,66334000,73525000,72506000,67933000,65887000,66796000,66904000,67836000,69582000,67987000,69706000,68961000,67791000,68267000
 "00000","United States", ,SAINC7N,906,"518","    Data processing, hosting, and related services","Thousands of dollars",19034000,25016000,33776000,32119000,26311000,25276000,26962000,27857000,29752000,20023000,19586000,19081000,19613000,20665000,21927000,23727000,26056000,29822000,32435000,35717000,42076000,45258000
 "00000","United States", ,SAINC7N,907,"519","    Other information services 2/","Thousands of dollars",1403000,1491000,1666000,1678000,1664000,1711000,2039000,2112000,2280000,11670000,12535000,12451000,14075000,17281000,21182000,32460000,35307000,41158000,46329000,56368000,64607000,70711000
 "00000","United States", ,SAINC7N,1000,"52","   Finance and insurance","Thousands of dollars",293600000,316840000,348698000,374828000,370683000,390162000,422461000,448883000,490231000,526363000,517210000,465307000,485459000,513241000,536780000,545423000,582075000,611170000,625484000,668523000,693011000,726935000
 "00000","United States", ,SAINC7N,1001,"521","    Monetary Authorities-central bank","Thousands of dollars",976000,1019000,1058000,1182000,1257000,1282000,1304000,1335000,1437000,1536000,1716000,1802000,1844000,1784000,1766000,1895000,1975000,2069000,2227000,2350000,2472000,2615000
 "00000","United States", ,SAINC7N,1002,"522","    Credit intermediation and related activities","Thousands of dollars",102816000,109351000,112799000,126055000,133815000,149044000,155583000,164503000,174923000,176849000,166352000,155597000,157602000,166290000,178636000,185174000,187881000,199744000,209470000,221852000,229826000,245354000
 "00000","United States", ,SAINC7N,1003,"523","    Securities, commodity contracts, and other financial investments and related activities","Thousands of dollars",87424000,98988000,122126000,127756000,112578000,108763000,126169000,137875000,159104000,187708000,186749000,149573000,163382000,172432000,173589000,172450000,192911000,195977000,196233000,213141000,217122000,221972000
 "00000","United States", ,SAINC7N,1004,"524","    Insurance carriers and related activities","Thousands of dollars",101478000,106483000,111543000,118836000,122061000,130010000,138131000,143782000,153266000,159725000,161852000,157821000,162203000,172278000,182430000,185439000,198596000,212435000,216185000,229407000,241455000,254533000
 "00000","United States", ,SAINC7N,1005,"525","    Funds, trusts, and other financial vehicles","Thousands of dollars",906000,999000,1172000,999000,972000,1063000,1274000,1388000,1501000,545000,541000,514000,428000,457000,359000,465000,712000,945000,1369000,1773000,2136000,2461000
 "00000","United States", ,SAINC7N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",58296000,62494000,67824000,70382000,72425000,75514000,81474000,87308000,94652000,97515000,95686000,87576000,87987000,91951000,98227000,102378000,109197000,117212000,121098000,128972000,137669000,146981000
 "00000","United States", ,SAINC7N,1101,"531","    Real estate","Thousands of dollars",40139000,43183000,46819000,48953000,51306000,54083000,58921000,63697000,69303000,70944000,69538000,63936000,64687000,67340000,72034000,75732000,80631000,87773000,91455000,97616000,104217000,111608000
 "00000","United States", ,SAINC7N,1102,"532","    Rental and leasing services","Thousands of dollars",16543000,17480000,18917000,19326000,19268000,19529000,20598000,21538000,23005000,24151000,23827000,21430000,21153000,22514000,23943000,24431000,26197000,27119000,27259000,28772000,30943000,32762000
 "00000","United States", ,SAINC7N,1103,"533","    Lessors of nonfinancial intangible assets (except copyrighted works)","Thousands of dollars",1614000,1831000,2088000,2103000,1851000,1902000,1955000,2073000,2344000,2420000,2321000,2210000,2147000,2097000,2250000,2215000,2369000,2320000,2384000,2584000,2509000,2611000
 "00000","United States", ,SAINC7N,1200,"54","   Professional, scientific, and technical services","Thousands of dollars",315256000,352119000,404170000,412553000,402263000,410165000,437105000,473723000,519714000,564951000,597550000,574264000,590958000,626320000,673165000,692333000,736695000,789824000,819165000,859617000,918737000,977154000
 "00000","United States", ,SAINC7N,1300,"55","   Management of companies and enterprises","Thousands of dollars",104609000,111909000,120601000,119898000,120658000,126092000,140845000,153601000,164687000,182461000,184676000,173365000,186217000,201300000,221060000,231553000,246652000,260286000,262022000,278505000,293564000,309430000
 "00000","United States", ,SAINC7N,1400,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",155313000,170042000,189316000,193050000,196042000,200591000,217493000,232973000,248463000,266271000,266690000,242361000,255154000,270615000,288128000,298336000,316297000,337936000,350848000,370127000,389987000,410991000
 "00000","United States", ,SAINC7N,1401,"561","    Administrative and support services","Thousands of dollars",143858000,157784000,176855000,180013000,182470000,186489000,202434000,216992000,231538000,248673000,248327000,224579000,236239000,250956000,267872000,277829000,294685000,315033000,327410000,345017000,362884000,382455000
 "00000","United States", ,SAINC7N,1402,"562","    Waste management and remediation services","Thousands of dollars",11455000,12258000,12461000,13037000,13572000,14102000,15059000,15981000,16925000,17598000,18363000,17782000,18915000,19659000,20256000,20507000,21612000,22903000,23438000,25110000,27103000,28536000
 "00000","United States", ,SAINC7N,1500,"61","   Educational services","Thousands of dollars",53755000,57854000,62929000,68723000,74974000,79532000,84341000,88276000,94296000,101163000,108598000,113857000,118723000,124322000,129403000,133625000,139294000,144176000,151287000,157111000,162817000,168037000
 "00000","United States", ,SAINC7N,1600,"62","   Health care and social assistance","Thousands of dollars",371971000,388614000,413240000,438514000,470007000,499560000,532051000,560688000,598865000,638214000,678734000,707989000,729882000,754988000,790676000,813770000,844773000,895709000,934351000,976166000,1023053000,1075090000
